오늘 날씨는 어떤가요?,여행 당일
지금 무엇을 하고 계신가요?,여행 당일
오늘은 어떤 하루를 보내셨나요?,여행 당일
오늘 제일 기억에 남는 것은 무엇인가요?,여행 당일
오늘은 무엇을 드셨나요?,여행 당일
나만의 여행 버킷리스트가 있다면 소개해주세요.,기타
이번 여행에서 가장 기대되는 것은 무엇인가요?,여행 준비
여행 오길 잘했다라는 생각이 든 순간이 있다면 언제인가요?,여행 마무리
여행 중 발견한 나만의 포토스팟이 있다면 어디인가요?,여행 마무리
이번 여행의 숙소를 소개해주세요.,여행 당일
"여행 전 계획, 예상보다 좋았던 장소 또는 음식은?",여행 마무리
"여행 전 계획, 예상대로 하지 못했던 일이 있다면?",여행 마무리
오늘 여행의 분위기와 잘 어울리는 노래를 골라본다면? 그 이유는?,여행 당일
오늘 여행을 계기로 새로 시작해보고 싶은 일이 생겼다면? 그 이유는?,여행 당일
오늘 찍었던 사진 중 가장 마음에 드는 사진과 그 이유는?,여행 당일
다음에 또 이곳에 온다면 어떤 하루를 보내고 싶으신가요?,여행 마무리
이번 여행의 파트너가 있다면 소개해주세요. 나와는 어떤 관계인가요?,여행 당일
홀로 하는 여행에 대해 어떻게 생각하시나요?,기타
여행을 갈 때 가장 중요하게 생각하는 포인트가 있다면?,기타
이번 여행에서 힘들었던 경험이 있나요?,여행 마무리
오늘 발견한 나의 취향은 무엇인가요?,여행 당일
오늘 하루를 색깔로 나타내면 어떤 색일까요?,여행 당일
오늘 발견한 행복은 무엇인가요?,여행 당일
다른 사람들에게 공유하고 싶은 기억은 무엇인가요?,기타
오랫동안 기억하고 싶은 경험이 있나요?,기타
나에게 여행이란 어떤 의미를 가지는 존재인가요?,기타
여행지 이름을 따와서 n행시를 지어주세요.,기타
나의 첫 여행에 대해 알려주세요.,기타
여행을 준비하면서 설레이나요? 어떤 기분인지 알려주세요.,여행 준비
여행 갈 때 꼭 듣는 노래가 있나요? 나만의 여행 플레이리스트를 소개해 주세요.,여행 당일
이번 여행을 위해 가방에 무엇을 챙겼는지 소개해 주세요.,여행 준비
이번 여행을 한 문장으로 정리한다면? 그 이유는?,여행 마무리
이번 여행을 가게 된 이유는 무엇인가요?,여행 준비
여행을 준비하면 생긴 에피소드가 있다면?,여행 준비
기념품을 사는 걸 좋아하는 편인가요? 이번 여행을 기념하기 위해 산 물건이 있다면 소개해 주세요.,여행 마무리
이번 여행에서 새로 생긴 인연이 있다면 알려주세요.,여행 마무리
여행을 준비하기 위해 공부한 언어가 있다면? 간단한 회화 표현도 좋아요.,여행 준비
다음 여행에 대해 생각해 보았나요? 조금만 스포해주세요.,여행 마무리
이번 여행의 목적지로 정한 곳에 대해 소개해주세요. 왜 그곳을 고르게 되었나요?,여행 준비
여행 중 가장 낭만적이었던 순간은 언제였나요?,여행 마무리
